ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer
25380,JunkSW,,Neglect,5/22/21 7:01,1,490.3941118,7995.643752,0,6872.597656,2290.088867,0.62785399,1.590000033,2.184999943,183.5,8342,normally,
25381,JunkSW,,Unknow,5/22/21 7:05,1,1870.930325,11157.19436,0,6872.597656,2290.088867,0.62785399,1.657999992,2.432500124,172.5,11510,normally,
25382,JunkSW,,Unknow,5/22/21 7:09,1,1917.497575,11263.83751,0,6872.597656,2290.088867,0.62785399,1.600000024,2.224999905,181,11610,normally,
25383,JunkSW,,Unknow,5/22/21 7:13,1,1914.290548,11256.49313,0,6872.597656,2290.088867,0.62785399,1.577999949,2.292500019,177.5,11600,normally,
25384,JunkSW,,Unknow,5/22/21 7:18,1,1917.930805,11264.82964,0,6872.597656,2290.088867,0.62785399,1.671999931,2.307499886,178.5,11620,normally,
25385,JunkSW,,Unknow,5/22/21 7:22,1,1906.267987,11238.12075,0,6872.597656,2290.088867,0.62785399,1.657999992,2.375,174.5,11590,normally,
25386,JunkSW,,Unknow,5/22/21 7:26,1,1918.878528,11267.00001,0,6872.597656,2290.088867,0.62785399,1.639999986,2.359999895,171.5,11610,normally,
25387,ESL06b_13,,Neglect,5/22/21 7:33,0.6,39.30203448,6926.600747,0,6872.597656,2290.088867,0.62785399,1.661999941,2.212500095,153,7223,normally,
25388,ESL06b_13,,Unknow,5/22/21 7:37,0.6,52.1224147,6944.216633,0,6872.597656,2290.088867,0.62785399,1.45599997,2.142499924,155.5,7224,normally,
25389,ESL06b_13,,Unknow,5/22/21 7:40,0.6,46.68930586,6936.751252,0,6872.597656,2290.088867,0.62785399,1.501999974,2.0625,155,7213,normally,
